id,lyric,line
11,"And I didn't know if you knew, so I'm taking this chance to say",33
11,That I had the best day with you today,34
12,"Well, it's a sad picture, the final blow hits you",1
12,Somebody else gets what you wanted again and,2
12,"You know it’s all the same, another time and place",3
12,Repeating history and you're getting sick of it,4
12,But I believe in whatever you do,5
12,And I'll do anything to see it through,6
12,Because these things will change,7
12,Can you feel it now?,8
12,These walls that they put up to hold us back will fall down,9
12,"This revolution, the time will come",10
12,For us to finally win,11
12,"And we’ll sing hallelujah, we'll sing hallelujah",12
12,"Oh, oh",13
12,"So we've been outnumbered, raidеd, and now cornered",14
12,It's hard to fight when thе fight ain't fair,15
12,"We're getting stronger now, find things they never found",16
12,They might be bigger but we're faster and never scared,17
12,"You can walk away, say we don't need this",18
12,But there’s something in your eyes says we can beat this,19
12,’Cause these things will change,20
12,Can you feel it now?,21
12,These walls that they put up to hold us back will fall down,22
12,"This revolution, the time will come",23
12,For us to finally win,24
12,"And we'll sing hallelujah, we’ll sing hallelujah",25
12,"Oh, oh",26
12,"Tonight, we'll stand, get off our knees",27
12,Fight for what we've worked for all these years,28
12,"And the battle was long, it's the fight of our lives",29
12,But we’ll stand up champions tonight,30
12,It was the night things changed,31
12,Can you see it now?,32
12,When the walls that they put up to hold us back fell down,33
12,"It's a revolution, throw your hands up",34
12,'Cause we never gave in,35
12,"And we'll sing hallelujah, we sang hallelujah",36
12,Hallelujah,37
13,I like the way you sound in the morning,1
13,We're on the phone and without a warning,2
13,I realize your laugh is the best sound,3
13,I have ever heard,4
13,I like the way I can't keep my focus,5
13,"I watch you talk, you didn't notice",6
13,I hear the words but all I can think is,7
13,We should be together,8
13,"Every time you smile, I smile",9
13,"And every time you shine, I'll shine for you",10
13,"Whoa oh, I'm feeling you, baby",11
13,Don't be afraid to,12
13,Jump then fall,13
13,Jump then fall into me,14
13,"Baby, I'm never gonna leave you",15
13,Say that you wanna be with me too,16
13,'Cause I'ma stay through it all,17
13,So jump then fall,18
13,"Well, I like the way your hair falls in your face",19
13,You got the keys to me,20
13,"I love each freckle on your face, oh",21
13,"I've never been so wrapped up, honey",22
13,I like the way you're everything I ever wanted,23
13,I had time to think it over,24
13,And all I can say is come closer,25
13,Take a deep breath and jump then fall into me,26
13,"Cause every time you smile, I smile",27
13,"And every time you shine, I'll shine for you",28
